,transaction_id,customer_id,timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,device_id,new_device,ip_address,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,amount_dest,date_only,time_only,days_only,period_of_the_day,fee_bracket,ip_risk_score_bracket,device_trust_bucket
0,fee8542d-8ee6-4b0d-9671-c294dd08ed26,402cccc9-28de-45b3-9af7-cc5302aa1f93,2022-10-03 18:40:59.000,US,USD,CAD,ATM,278.19,278.19,4.25,1.351351,9f292dcc-3297-4947-a260-6a1ef69041ff,False,221.78.171.180,US,False,0.123,STANDARD,263,0.522,0,0.223,0,0,0.0,False,375.93233469,2022-10-03,1900-01-01 18:40:59,Monday,Evening,no risk,no risk,no risk
1,bfdb9fc1-27fe-4a85-b043-4d813d679259,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,2022-10-03 20:39:38.000,CA,CAD,MXN,WEB,208.51,154.29,4.24,12.758621,3a95b9f5-309f-4684-a46d-e2ff2435bf78,True,120.12.20.29,CA,False,0.569,STANDARD,947,0.475,0,0.268,0,1,0.0,False,2660.30006471,2022-10-03,1900-01-01 20:39:38,Monday,Evening,no risk,no risk,no risk
2,fc855034-3ea5-4993-9afa-b511d93fe5e8,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-03 23:02:43.000,US,USD,CNY,MOBILE,160.33,160.33,2.7,7.142857,a4737752-9aac-43ed-9d8b-2ccdffc24052,False,223.96.181.93,US,False,0.437,ENHANCED,367,0.939,0,0.176,0,0,0.0,False,1145.21426281,2022-10-03,1900-01-01 23:02:43,Monday,Late Night,no risk,no risk,high risk
3,2cf8c08e-42ec-444d-a755-34b9a2a0a4ca,7bd5200c-5d19-44f0-9afe-8b339a05366b,2022-10-04 01:08:53.000,US,USD,EUR,MOBILE,59.41,59.41,2.22,0.925926,6aeb85a3-5603-4221-896c-9e6882764f1a,False,186.228.15.74,US,False,0.594,STANDARD,147,0.551,0,0.391,0,0,0.0,False,55.009263659999995,2022-10-04,1900-01-01 01:08:53,Tuesday,Night,no risk,no risk,no risk
4,d907a74d-b426-438d-97eb-dbe911aca91c,70a93d26-8e3a-4179-900c-a4a7a74d08e5,2022-10-04 09:35:03.000,US,USD,INR,MOBILE,200.96,200.96,3.61,83.333333,a5b9250e-dbe0-4c5f-a6e7-5492b7349402,False,11.82.47.62,US,False,0.121,ENHANCED,257,0.894,0,0.257,0,0,0.0,False,16746.66659968,2022-10-04,1900-01-01 09:35:03,Tuesday,Day,no risk,no risk,no risk
5,ec17d6f2-6505-4de9-910f-0de3ac3bbc23,4cfe5cbc-d677-49bc-8739-b1d05f351250,2022-10-04 12:09:59.000,US,USD,GBP,MOBILE,526.9,526.9,8.75,0.8,209e3bb0-50ea-49b7-a681-036adf7b1251,False,191.142.136.198,US,False,0.094,LOW,616,0.702,0,0.361,0,0,0.0,False,421.52,2022-10-04,1900-01-01 12:09:59,Tuesday,Day,no risk,no risk,no risk
6,2d8efe37-33ea-40de-9881-e553e3f2f8ce,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,2022-10-04 12:37:41.000,CA,CAD,GBP,MOBILE,149.24,110.44,2.33,0.592,cd539961-17ad-4f6b-94ae-8080423af5e3,False,106.34.98.71,CA,False,0.299,STANDARD,947,0.625,0,0.268,0,0,0.0,False,88.35008,2022-10-04,1900-01-01 12:37:41,Tuesday,Day,no risk,no risk,no risk
7,4d311532-ee0b-4985-b996-63e11a7144d3,4dfeffe2-94ed-4fc3-b5bc-89c6f1e86dab,2022-10-04 16:27:44.000,CA,CAD,INR,WEB,276.51,204.62,5.59,61.666667,96468499-b7b2-4273-a946-dbf2cb7dc95a,False,32.170.54.208,CA,False,0.087,STANDARD,1041,0.867,0,0.245,0,1,0.12,False,17051.45009217,2022-10-04,1900-01-01 16:27:44,Tuesday,Day,no risk,no risk,no risk
8,db5bdea7-0701-4c07-9efa-815fa6ca9ede,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,2022-10-04 21:00:36.000,US,USD,EUR,MOBILE,99.52,99.52,2.41,0.925926,3c27e832-cb50-4fc5-b782-ec97f6a5d50c,False,109.242.237.91,US,False,0.182,ENHANCED,367,0.939,0,0.176,0,0,0.0,False,92.14815552,2022-10-04,1900-01-01 21:00:36,Tuesday,Late Night,no risk,no risk,high risk
9,d74c81c0-bf5d-4184-8ce2-27fb753cb1c6,f7531a78-8bbe-4a85-b1e8-a0650edddc72,2022-10-04 21:20:42.000,US,USD,PHP,WEB,302.55,302.55,5.26,58.823529,3df8c73d-b716-4a6e-8172-d2b7359b60b2,False,103.237.21.29,US,False,0.413,STANDARD,1016,0.944,0,0.247,0,0,0.1,True,17797.05869895,2022-10-04,1900-01-01 21:20:42,Tuesday,Late Night,no risk,no risk,high risk
